iter	Logloss
0	0.5704254857
1	0.483457118
2	0.4239116402
3	0.3819501227
4	0.3514816653
5	0.3306766059
6	0.3154380661
7	0.3038356342
8	0.2940460897
9	0.2878490721
10	0.2826628039
11	0.2783456219
12	0.2745200593
13	0.2713251959
14	0.2681686966
15	0.2658770898
16	0.2634974655
17	0.261735842
18	0.2593675742
19	0.2581117616
20	0.2563170414
21	0.25477963
22	0.2535673648
23	0.252204814
24	0.2505751412
25	0.2495652808
26	0.2484357992
27	0.2473248706
28	0.2462870634
29	0.2452393423
30	0.2443323619
31	0.243709748
32	0.2430031594
33	0.2420445461
34	0.2413022943
35	0.2400542484
36	0.2396141109
37	0.2389574777
38	0.2380399459
39	0.2373492431
40	0.2368056554
41	0.2365215404
42	0.2362044126
43	0.2358316595
44	0.2351266143
45	0.2346586977
46	0.2341442981
47	0.2335981942
48	0.2329998199
49	0.2325932824
50	0.2321852183
51	0.2320196845
52	0.2315012422
53	0.2310603834
54	0.2303800642
55	0.2298224695
56	0.2293719484
57	0.2291026288
58	0.2285145207
59	0.2280137759
60	0.2276935112
61	0.2273907259
62	0.2272173917
63	0.2266884484
64	0.2261953193
65	0.2258250489
66	0.225471503
67	0.225307395
68	0.2251051412
69	0.2248968316
70	0.2245546254
71	0.2240395716
72	0.2235885305
73	0.2233008761
74	0.2230424601
75	0.2227105034
76	0.2224788936
77	0.222277512
78	0.2218787077
79	0.2216693412
80	0.2213684179
81	0.2211481479
82	0.2209330445
83	0.2206641778
84	0.2203166037
85	0.2201243812
86	0.2197862513
87	0.2196576221
88	0.2193169592
89	0.2191198384
90	0.2189258042
91	0.2186374117
92	0.2182125225
93	0.2180424595
94	0.2178482575
95	0.2177015618
96	0.2174293401
97	0.2172023266
98	0.2171066599
99	0.2167731766
100	0.2165269392
101	0.2162990031
102	0.2159826973
103	0.2158003718
104	0.2156506399
105	0.2154479666
106	0.2151048546
107	0.2150162669
108	0.2148491059
109	0.2146631236
110	0.2145800882
111	0.214365941
112	0.2140946252
113	0.2140045445
114	0.213851424
115	0.2136594866
116	0.2135191318
117	0.213257277
118	0.2130336185
119	0.2129096358
120	0.2127048993
121	0.2125209132
122	0.2123240104
123	0.2121091083
124	0.2118511453
125	0.2116884632
126	0.2115392848
127	0.2113507191
128	0.2112521336
129	0.2111089103
130	0.2108842284
131	0.2107106427
132	0.2105767965
133	0.2104000235
134	0.2101938947
135	0.2100608872
136	0.2098858253
137	0.2097617252
138	0.209627728
139	0.2094700616
140	0.2092936577
141	0.2092454469
142	0.2090490474
143	0.2089054382
144	0.208770032
145	0.2086181864
146	0.2084897584
147	0.2082541059
148	0.2081995374
149	0.207905777
150	0.2077741786
151	0.2074341196
152	0.2073337559
153	0.207236093
154	0.206938793
155	0.2068213861
156	0.2066747575
157	0.2065727331
158	0.2063677952
159	0.2062807004
160	0.2061806387
161	0.2060121022
162	0.2058191751
163	0.2057183752
164	0.2055712937
165	0.2054737314
166	0.2053597465
167	0.2052838405
168	0.2051718687
169	0.2051220978
170	0.2049141069
171	0.2048336549
172	0.2047114169
173	0.2045987908
174	0.2044535545
175	0.204194736
176	0.2040909334
177	0.2040370695
178	0.2038860962
179	0.2037164693
180	0.2036263215
181	0.2034823265
182	0.2033502081
183	0.2032318786
184	0.2030625872
185	0.2028856465
186	0.2028035506
187	0.2026926355
188	0.2025886485
189	0.2024993394
190	0.2024117917
191	0.2023278673
192	0.2022168348
193	0.2021744449
194	0.2020933722
195	0.2020149835
196	0.2017964748
197	0.2017296776
198	0.2016600453
199	0.2015258468
